,GEOID_Data,facility_type,X.1,X,FID,OBJECTID,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Shape_Leng,Shape_Area,area_sqr_m,land_ratio,ORIG_FID,POINT_X,POINT_Y,facility_name,facility_lat,facility_lng,distance_rank,Dist_km_bm,Dur_min_bm,Dist_km_rt,Dur_min_rt,time,Dist_km_rg,Dur_min_rg
43,14000US39035101200,center,2583,12743,42,50721,39,35,101200,39035101200,1012,Census Tract 1012,G5020,S,1298153,1252273,41.4913443,-81.7378048,0.073282108,0.000274977,0.501219,0.533521524,42,-81.73926766,41.48975073,Cleveland Downtown,41.5047834,-81.6856808,0,6.083,9.25,6.083,9.7,1/19/2019 16:00,6.083,9.8
48,14000US39035101200,fire,1313,6561,42,50721,39,35,101200,39035101200,1012,Census Tract 1012,G5020,S,1298153,1252273,41.4913443,-81.7378048,0.073282108,0.000274977,0.501219,0.533521524,42,-81.73926766,41.48975073,Cleveland Fire Station 23,41.4773181,-81.7516946,0,3.674,7.5,3.674,7.516666667,1/19/2019 16:00,3.674,7.616666667
50,14000US39035101200,grocery,678,3386,42,50721,39,35,101200,39035101200,1012,Census Tract 1012,G5020,S,1298153,1252273,41.4913443,-81.7378048,0.073282108,0.000274977,0.501219,0.533521524,42,-81.73926766,41.48975073,American Food Market,41.4816926,-81.7403358,0,2.782,5.733333333,2.782,5.6,1/19/2019 16:00,2.782,5.716666667
54,14000US39035101200,hospital,43,211,42,50721,39,35,101200,39035101200,1012,Census Tract 1012,G5020,S,1298153,1252273,41.4913443,-81.7378048,0.073282108,0.000274977,0.501219,0.533521524,42,-81.73926766,41.48975073,MetroHealth,41.4620675,-81.698173,0,6.546,15.51666667,6.546,13.81666667,1/19/2019 16:00,6.546,14.4
60,14000US39035101200,police,1948,9736,42,50721,39,35,101200,39035101200,1012,Census Tract 1012,G5020,S,1298153,1252273,41.4913443,-81.7378048,0.073282108,0.000274977,0.501219,0.533521524,42,-81.73926766,41.48975073,Lakewood Police Department,41.4850308,-81.7774277,0,5.114,9.5,5.114,9.283333333,1/19/2019 16:00,5.114,9.466666667
63,14000US39035101300,center,2891,13051,350,51866,39,35,101300,39035101300,1013,Census Tract 1013,G5020,S,626776,0,41.4805279,-81.7640624,0.039296937,6.76E-05,0.241999,1,350,-81.76406241,41.48052789,Cleveland Downtown,41.5047834,-81.6856808,0,8.708,12.1,8.708,12.43333333,1/19/2019 16:00,8.708,12.51666667
65,14000US39035101300,fire,1621,8101,350,51866,39,35,101300,39035101300,1013,Census Tract 1013,G5020,S,626776,0,41.4805279,-81.7640624,0.039296937,6.76E-05,0.241999,1,350,-81.76406241,41.48052789,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.543,3.533333333,1.543,3.666666667,1/19/2019 16:00,1.543,3.566666667
69,14000US39035101300,grocery,986,4926,350,51866,39,35,101300,39035101300,1013,Census Tract 1013,G5020,S,626776,0,41.4805279,-81.7640624,0.039296937,6.76E-05,0.241999,1,350,-81.76406241,41.48052789,ALDI,41.4781471,-81.7699211,0,0.842,2.716666667,0.842,2.8,1/19/2019 16:00,0.842,2.733333333
74,14000US39035101300,hospital,351,1751,350,51866,39,35,101300,39035101300,1013,Census Tract 1013,G5020,S,626776,0,41.4805279,-81.7640624,0.039296937,6.76E-05,0.241999,1,350,-81.76406241,41.48052789,MetroHealth,41.4504689,-81.8017469,0,5.532,10.61666667,5.532,11.48333333,1/19/2019 16:00,5.532,10.38333333
78,14000US39035101300,police,2256,11276,350,51866,39,35,101300,39035101300,1013,Census Tract 1013,G5020,S,626776,0,41.4805279,-81.7640624,0.039296937,6.76E-05,0.241999,1,350,-81.76406241,41.48052789,Lakewood Police Department,41.4850308,-81.7774277,0,1.548,5,1.548,5.1,1/19/2019 16:00,1.548,4.75
84,14000US39035101400,center,3096,13256,555,53001,39,35,101400,39035101400,1014,Census Tract 1014,G5020,S,1279080,0,41.4704727,-81.7638204,0.050353338,0.000137868,0.493855,1,555,-81.76382027,41.47047297,Cleveland Downtown,41.5047834,-81.6856808,0,12.357,12.71666667,12.357,13.66666667,1/19/2019 16:00,12.357,13.05
86,14000US39035101400,fire,1826,9126,555,53001,39,35,101400,39035101400,1014,Census Tract 1014,G5020,S,1279080,0,41.4704727,-81.7638204,0.050353338,0.000137868,0.493855,1,555,-81.76382027,41.47047297,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.72,4.4,1.72,4.133333333,1/19/2019 16:00,1.72,4.066666667
90,14000US39035101400,grocery,1191,5951,555,53001,39,35,101400,39035101400,1014,Census Tract 1014,G5020,S,1279080,0,41.4704727,-81.7638204,0.050353338,0.000137868,0.493855,1,555,-81.76382027,41.47047297,Save-A-Lot,41.4662945,-81.7624162,0,0.541,1.066666667,0.541,1.033333333,1/19/2019 16:00,0.541,1
96,14000US39035101400,hospital,556,2776,555,53001,39,35,101400,39035101400,1014,Census Tract 1014,G5020,S,1279080,0,41.4704727,-81.7638204,0.050353338,0.000137868,0.493855,1,555,-81.76382027,41.47047297,MetroHealth,41.4504689,-81.8017469,0,4.535,10.4,4.535,9.433333333,1/19/2019 16:00,4.535,9.766666667
98,14000US39035101400,police,2461,12301,555,53001,39,35,101400,39035101400,1014,Census Tract 1014,G5020,S,1279080,0,41.4704727,-81.7638204,0.050353338,0.000137868,0.493855,1,555,-81.76382027,41.47047297,Lakewood Police Department,41.4850308,-81.7774277,0,2.718,6.716666667,2.718,6.633333333,1/19/2019 16:00,2.718,6.4
102,14000US39035101501,center,2900,13060,359,51984,39,35,101501,39035101501,1015.01,Census Tract 1015.01,G5020,S,507349,0,41.4742053,-81.7565044,0.038216341,5.47E-05,0.195888,1,359,-81.75650439,41.4742055,Cleveland Downtown,41.5047834,-81.6856808,0,12.192,12.23333333,8.993,13.5,1/19/2019 16:00,12.192,12.56666667
108,14000US39035101501,fire,1630,8146,359,51984,39,35,101501,39035101501,1015.01,Census Tract 1015.01,G5020,S,507349,0,41.4742053,-81.7565044,0.038216341,5.47E-05,0.195888,1,359,-81.75650439,41.4742055,Cleveland Fire Station 23,41.4773181,-81.7516946,0,0.747,2.2,0.747,2.133333333,1/19/2019 16:00,0.747,2.183333333
111,14000US39035101501,grocery,995,4971,359,51984,39,35,101501,39035101501,1015.01,Census Tract 1015.01,G5020,S,507349,0,41.4742053,-81.7565044,0.038216341,5.47E-05,0.195888,1,359,-81.75650439,41.4742055,Tienda Guatemala,41.4667266,-81.7545193,0,1.045,2.9,1.045,3.116666667,1/19/2019 16:00,1.045,2.85
115,14000US39035101501,hospital,360,1796,359,51984,39,35,101501,39035101501,1015.01,Census Tract 1015.01,G5020,S,507349,0,41.4742053,-81.7565044,0.038216341,5.47E-05,0.195888,1,359,-81.75650439,41.4742055,MetroHealth,41.4504689,-81.8017469,0,6.311,9.45,6.311,10.38333333,1/19/2019 16:00,6.311,9.35
119,14000US39035101501,police,2265,11321,359,51984,39,35,101501,39035101501,1015.01,Census Tract 1015.01,G5020,S,507349,0,41.4742053,-81.7565044,0.038216341,5.47E-05,0.195888,1,359,-81.75650439,41.4742055,Lakewood Police Department,41.4850308,-81.7774277,0,2.762,7.616666667,2.762,7.55,1/19/2019 16:00,2.762,7.283333333
123,14000US39035101603,center,2920,13080,379,52004,39,35,101603,39035101603,1016.03,Census Tract 1016.03,G5020,S,618190,0,41.4713416,-81.7522313,0.055107704,6.66E-05,0.238684,1,379,-81.75223119,41.47134176,Cleveland Downtown,41.5047834,-81.6856808,0,11.575,10.81666667,11.575,11.81666667,1/19/2019 16:00,11.575,11.06666667
125,14000US39035101603,fire,1650,8246,379,52004,39,35,101603,39035101603,1016.03,Census Tract 1016.03,G5020,S,618190,0,41.4713416,-81.7522313,0.055107704,6.66E-05,0.238684,1,379,-81.75223119,41.47134176,Cleveland Fire Station 23,41.4773181,-81.7516946,0,0.832,2.3,0.832,2.483333333,1/19/2019 16:00,0.832,2.383333333
130,14000US39035101603,grocery,1015,5071,379,52004,39,35,101603,39035101603,1016.03,Census Tract 1016.03,G5020,S,618190,0,41.4713416,-81.7522313,0.055107704,6.66E-05,0.238684,1,379,-81.75223119,41.47134176,Tienda Guatemala,41.4667266,-81.7545193,0,0.829,2.766666667,0.829,2.666666667,1/19/2019 16:00,0.829,2.7
134,14000US39035101603,hospital,380,1896,379,52004,39,35,101603,39035101603,1016.03,Census Tract 1016.03,G5020,S,618190,0,41.4713416,-81.7522313,0.055107704,6.66E-05,0.238684,1,379,-81.75223119,41.47134176,MetroHealth,41.4620675,-81.698173,0,6.177,9.15,6.177,8.816666667,1/19/2019 16:00,6.177,8.666666667
138,14000US39035101603,police,2285,11421,379,52004,39,35,101603,39035101603,1016.03,Census Tract 1016.03,G5020,S,618190,0,41.4713416,-81.7522313,0.055107704,6.66E-05,0.238684,1,379,-81.75223119,41.47134176,Lakewood Police Department,41.4850308,-81.7774277,0,3.475,9.133333333,3.475,9.466666667,1/19/2019 16:00,3.475,8.95
144,14000US39035101700,center,3097,13257,556,53002,39,35,101700,39035101700,1017,Census Tract 1017,G5020,S,726454,0,41.4757077,-81.746672,0.049415477,7.83E-05,0.280485,1,556,-81.74667213,41.4757078,Cleveland Downtown,41.5047834,-81.6856808,0,8.171,12.06666667,8.171,12.3,1/19/2019 16:00,8.171,12.56666667
147,14000US39035101700,fire,1827,9131,556,53002,39,35,101700,39035101700,1017,Census Tract 1017,G5020,S,726454,0,41.4757077,-81.746672,0.049415477,7.83E-05,0.280485,1,556,-81.74667213,41.4757078,Cleveland Fire Station 23,41.4773181,-81.7516946,0,0.658,1.6,0.658,1.583333333,1/19/2019 16:00,0.658,1.583333333
150,14000US39035101700,grocery,1192,5956,556,53002,39,35,101700,39035101700,1017,Census Tract 1017,G5020,S,726454,0,41.4757077,-81.746672,0.049415477,7.83E-05,0.280485,1,556,-81.74667213,41.4757078,Thompkins Food Deli,41.4720687,-81.7433929,0,0.696,2.316666667,0.696,2.366666667,1/19/2019 16:00,0.696,2.35
153,14000US39035101700,hospital,557,2781,556,53002,39,35,101700,39035101700,1017,Census Tract 1017,G5020,S,726454,0,41.4757077,-81.746672,0.049415477,7.83E-05,0.280485,1,556,-81.74667213,41.4757078,MetroHealth,41.4620675,-81.698173,0,6.124,11.18333333,6.124,10.98333333,1/19/2019 16:00,6.124,10.68333333
158,14000US39035101700,police,2462,12306,556,53002,39,35,101700,39035101700,1017,Census Tract 1017,G5020,S,726454,0,41.4757077,-81.746672,0.049415477,7.83E-05,0.280485,1,556,-81.74667213,41.4757078,Lakewood Police Department,41.4850308,-81.7774277,0,3.301,8.4,3.301,8.916666667,1/19/2019 16:00,3.301,8.15
162,14000US39035101800,center,2584,12744,43,50722,39,35,101800,39035101800,1018,Census Tract 1018,G5020,S,746636,0,41.4761994,-81.7389502,0.045888406,8.05E-05,0.288278,1,43,-81.73895015,41.47619951,Cleveland Downtown,41.5047834,-81.6856808,0,8.27,12.11666667,8.27,12.5,1/19/2019 16:00,8.27,12.75
167,14000US39035101800,fire,1314,6566,43,50722,39,35,101800,39035101800,1018,Census Tract 1018,G5020,S,746636,0,41.4761994,-81.7389502,0.045888406,8.05E-05,0.288278,1,43,-81.73895015,41.47619951,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.246,2.733333333,1.246,2.666666667,1/19/2019 16:00,1.246,2.75
171,14000US39035101800,grocery,679,3391,43,50722,39,35,101800,39035101800,1018,Census Tract 1018,G5020,S,746636,0,41.4761994,-81.7389502,0.045888406,8.05E-05,0.288278,1,43,-81.73895015,41.47619951,Deli,41.4808064,-81.73554,0,0.803,2.283333333,0.803,2.4,1/19/2019 16:00,0.803,2.366666667
174,14000US39035101800,hospital,44,216,43,50722,39,35,101800,39035101800,1018,Census Tract 1018,G5020,S,746636,0,41.4761994,-81.7389502,0.045888406,8.05E-05,0.288278,1,43,-81.73895015,41.47619951,MetroHealth,41.4620675,-81.698173,0,6.186,11.08333333,6.186,11.33333333,1/19/2019 16:00,6.186,10.41666667
178,14000US39035101800,police,1949,9741,43,50722,39,35,101800,39035101800,1018,Census Tract 1018,G5020,S,746636,0,41.4761994,-81.7389502,0.045888406,8.05E-05,0.288278,1,43,-81.73895015,41.47619951,Cleveland Police Department 2nd District,41.4594668,-81.7116446,0,4.535,10.48333333,4.535,12.13333333,1/19/2019 16:00,4.535,10.43333333
182,14000US39035101901,center,2897,13057,356,51981,39,35,101901,39035101901,1019.01,Census Tract 1019.01,G5020,S,506548,0,41.4771091,-81.7327913,0.033786669,5.46E-05,0.195579,1,356,-81.73279131,41.47710925,Cleveland Downtown,41.5047834,-81.6856808,0,6.277,10.75,6.277,11.08333333,1/19/2019 16:00,6.277,11.4
188,14000US39035101901,fire,1627,8131,356,51981,39,35,101901,39035101901,1019.01,Census Tract 1019.01,G5020,S,506548,0,41.4771091,-81.7327913,0.033786669,5.46E-05,0.195579,1,356,-81.73279131,41.47710925,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.624,2.8,1.624,2.916666667,1/19/2019 16:00,1.624,2.8
191,14000US39035101901,grocery,992,4956,356,51981,39,35,101901,39035101901,1019.01,Census Tract 1019.01,G5020,S,506548,0,41.4771091,-81.7327913,0.033786669,5.46E-05,0.195579,1,356,-81.73279131,41.47710925,Dong Duong Indochina Grocery,41.4749078,-81.7296046,0,0.556,1.65,0.556,1.65,1/19/2019 16:00,0.556,1.616666667
196,14000US39035101901,hospital,357,1781,356,51981,39,35,101901,39035101901,1019.01,Census Tract 1019.01,G5020,S,506548,0,41.4771091,-81.7327913,0.033786669,5.46E-05,0.195579,1,356,-81.73279131,41.47710925,MetroHealth,41.4620675,-81.698173,0,4.584,12.41666667,4.584,11.98333333,1/19/2019 16:00,4.584,11.56666667
199,14000US39035101901,police,2262,11306,356,51981,39,35,101901,39035101901,1019.01,Census Tract 1019.01,G5020,S,506548,0,41.4771091,-81.7327913,0.033786669,5.46E-05,0.195579,1,356,-81.73279131,41.47710925,Cleveland Police Department 2nd District,41.4594668,-81.7116446,0,4.156,9.033333333,3.708,9.733333333,1/19/2019 16:00,4.156,8.95
203,14000US39035102101,center,3098,13258,557,53003,39,35,102101,39035102101,1021.01,Census Tract 1021.01,G5020,S,683351,0,41.4600037,-81.7634313,0.035413687,7.36E-05,0.263843,1,557,-81.76343121,41.46000372,Cleveland Downtown,41.5047834,-81.6856808,0,13.897,13.3,13.897,15,1/19/2019 16:00,13.897,13.51666667
205,14000US39035102101,fire,1828,9136,557,53003,39,35,102101,39035102101,1021.01,Census Tract 1021.01,G5020,S,683351,0,41.4600037,-81.7634313,0.035413687,7.36E-05,0.263843,1,557,-81.76343121,41.46000372,Cleveland Fire Station 33,41.456103,-81.7693868,0,0.864,2.166666667,0.864,2.183333333,1/19/2019 16:00,0.864,2.15
211,14000US39035102101,grocery,1193,5961,557,53003,39,35,102101,39035102101,1021.01,Census Tract 1021.01,G5020,S,683351,0,41.4600037,-81.7634313,0.035413687,7.36E-05,0.263843,1,557,-81.76343121,41.46000372,Tienda Central Hispana,41.4633175,-81.7651271,0,0.621,1.616666667,0.621,1.583333333,1/19/2019 16:00,0.621,1.633333333
215,14000US39035102101,hospital,558,2786,557,53003,39,35,102101,39035102101,1021.01,Census Tract 1021.01,G5020,S,683351,0,41.4600037,-81.7634313,0.035413687,7.36E-05,0.263843,1,557,-81.76343121,41.46000372,MetroHealth,41.4504689,-81.8017469,0,3.84,9.033333333,3.84,8.35,1/19/2019 16:00,3.84,8.683333333
218,14000US39035102101,police,2463,12311,557,53003,39,35,102101,39035102101,1021.01,Census Tract 1021.01,G5020,S,683351,0,41.4600037,-81.7634313,0.035413687,7.36E-05,0.263843,1,557,-81.76343121,41.46000372,Linndale Police Department,41.4442639,-81.7667196,0,2.466,5.316666667,2.466,5.333333333,1/19/2019 16:00,2.466,5.3
221,14000US39035102102,center,3099,13259,558,53004,39,35,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,0.043331264,8.87E-05,0.317775,1,558,-81.76409872,41.45179234,Cleveland Downtown,41.5047834,-81.6856808,0,14.683,14.68333333,14.683,16.5,1/19/2019 16:00,14.683,15.01666667
226,14000US39035102102,fire,1829,9141,558,53004,39,35,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,0.043331264,8.87E-05,0.317775,1,558,-81.76409872,41.45179234,Cleveland Fire Station 33,41.456103,-81.7693868,0,0.909,2.283333333,0.909,2.266666667,1/19/2019 16:00,0.909,2.35
232,14000US39035102102,grocery,1194,5966,558,53004,39,35,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,0.043331264,8.87E-05,0.317775,1,558,-81.76409872,41.45179234,West Town Village Market: Arabian Shop,41.4537769,-81.7686093,0,0.792,2,0.792,2.033333333,1/19/2019 16:00,0.792,2.066666667
233,14000US39035102102,hospital,559,2791,558,53004,39,35,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,0.043331264,8.87E-05,0.317775,1,558,-81.76409872,41.45179234,MetroHealth,41.4504689,-81.8017469,0,5.54,7.716666667,5.54,8.783333333,1/19/2019 16:00,5.54,7.7
238,14000US39035102102,police,2464,12316,558,53004,39,35,102102,39035102102,1021.02,Census Tract 1021.02,G5020,S,823034,0,41.4517923,-81.7640987,0.043331264,8.87E-05,0.317775,1,558,-81.76409872,41.45179234,Linndale Police Department,41.4442639,-81.7667196,0,1.304,3.133333333,1.304,3.116666667,1/19/2019 16:00,1.304,3.05
244,14000US39035102200,center,3100,13260,559,53005,39,35,102200,39035102200,1022,Census Tract 1022,G5020,S,889239,0,41.457689,-81.755775,0.051253991,9.58E-05,0.343337,1,559,-81.75577497,41.45768934,Cleveland Downtown,41.5047834,-81.6856808,0,13.068,14.48333333,13.068,15.66666667,1/19/2019 16:00,13.068,14.51666667
246,14000US39035102200,fire,1830,9146,559,53005,39,35,102200,39035102200,1022,Census Tract 1022,G5020,S,889239,0,41.457689,-81.755775,0.051253991,9.58E-05,0.343337,1,559,-81.75577497,41.45768934,Cleveland Fire Station 33,41.456103,-81.7693868,0,1.26,3.2,1.26,3.2,1/19/2019 16:00,1.26,3.216666667
249,14000US39035102200,grocery,1195,5971,559,53005,39,35,102200,39035102200,1022,Census Tract 1022,G5020,S,889239,0,41.457689,-81.755775,0.051253991,9.58E-05,0.343337,1,559,-81.75577497,41.45768934,Mediterranean Market,41.4624484,-81.759197,0,0.752,2.266666667,0.752,2.266666667,1/19/2019 16:00,0.752,2.283333333
253,14000US39035102200,hospital,560,2796,559,53005,39,35,102200,39035102200,1022,Census Tract 1022,G5020,S,889239,0,41.457689,-81.755775,0.051253991,9.58E-05,0.343337,1,559,-81.75577497,41.45768934,MetroHealth,41.4504689,-81.8017469,0,6.456,9.533333333,4.573,10.4,1/19/2019 16:00,6.456,9.466666667
257,14000US39035102200,police,2465,12321,559,53005,39,35,102200,39035102200,1022,Census Tract 1022,G5020,S,889239,0,41.457689,-81.755775,0.051253991,9.58E-05,0.343337,1,559,-81.75577497,41.45768934,Linndale Police Department,41.4442639,-81.7667196,0,2.22,4.933333333,2.22,5.183333333,1/19/2019 16:00,2.22,4.8
264,14000US39035102300,center,3101,13261,560,53006,39,35,102300,39035102300,1023,Census Tract 1023,G5020,S,454668,0,41.462081,-81.7512284,0.034668256,4.90E-05,0.175548,1,560,-81.75122836,41.46208115,Cleveland Downtown,41.5047834,-81.6856808,0,12.061,12.25,12.061,13.76666667,1/19/2019 16:00,12.061,12.66666667
267,14000US39035102300,fire,1831,9151,560,53006,39,35,102300,39035102300,1023,Census Tract 1023,G5020,S,454668,0,41.462081,-81.7512284,0.034668256,4.90E-05,0.175548,1,560,-81.75122836,41.46208115,Cleveland Fire Station 33,41.456103,-81.7693868,0,2.302,5.25,2.302,5.2,1/19/2019 16:00,2.302,5.266666667
271,14000US39035102300,grocery,1196,5976,560,53006,39,35,102300,39035102300,1023,Census Tract 1023,G5020,S,454668,0,41.462081,-81.7512284,0.034668256,4.90E-05,0.175548,1,560,-81.75122836,41.46208115,Tienda Guatemala,41.4667266,-81.7545193,0,0.721,2.25,0.721,2.7,1/19/2019 16:00,0.721,2.466666667
274,14000US39035102300,hospital,561,2801,560,53006,39,35,102300,39035102300,1023,Census Tract 1023,G5020,S,454668,0,41.462081,-81.7512284,0.034668256,4.90E-05,0.175548,1,560,-81.75122836,41.46208115,MetroHealth,41.4504689,-81.8017469,0,4.97,11.93333333,4.97,11.18333333,1/19/2019 16:00,4.97,11.53333333
279,14000US39035102300,police,2466,12326,560,53006,39,35,102300,39035102300,1023,Census Tract 1023,G5020,S,454668,0,41.462081,-81.7512284,0.034668256,4.90E-05,0.175548,1,560,-81.75122836,41.46208115,Linndale Police Department,41.4442639,-81.7667196,0,3.126,6.55,3.126,6.8,1/19/2019 16:00,3.126,6.45
282,14000US39035102401,center,2562,12722,21,50700,39,35,102401,39035102401,1024.01,Census Tract 1024.01,G5020,S,518099,0,41.460884,-81.7449562,0.038452276,5.58E-05,0.200039,1,21,-81.74495602,41.46088399,Cleveland Downtown,41.5047834,-81.6856808,0,11.862,12.56666667,11.862,13.58333333,1/19/2019 16:00,11.862,12.73333333
287,14000US39035102401,fire,1292,6456,21,50700,39,35,102401,39035102401,1024.01,Census Tract 1024.01,G5020,S,518099,0,41.460884,-81.7449562,0.038452276,5.58E-05,0.200039,1,21,-81.74495602,41.46088399,Cleveland Fire Station 23,41.4773181,-81.7516946,0,2.281,6.066666667,2.281,6.733333333,1/19/2019 16:00,2.281,6.2
289,14000US39035102401,grocery,657,3281,21,50700,39,35,102401,39035102401,1024.01,Census Tract 1024.01,G5020,S,518099,0,41.460884,-81.7449562,0.038452276,5.58E-05,0.200039,1,21,-81.74495602,41.46088399,Tom's Food Market,41.46357,-81.741572,0,0.586,1.9,0.586,1.75,1/19/2019 16:00,0.586,1.65
294,14000US39035102401,hospital,22,106,21,50700,39,35,102401,39035102401,1024.01,Census Tract 1024.01,G5020,S,518099,0,41.460884,-81.7449562,0.038452276,5.58E-05,0.200039,1,21,-81.74495602,41.46088399,MetroHealth,41.4620675,-81.698173,0,6.464,10.91666667,6.464,10.86666667,1/19/2019 16:00,6.464,10.31666667
300,14000US39035102401,police,1927,9631,21,50700,39,35,102401,39035102401,1024.01,Census Tract 1024.01,G5020,S,518099,0,41.460884,-81.7449562,0.038452276,5.58E-05,0.200039,1,21,-81.74495602,41.46088399,BROOKLYN POLICE DEPARTMENT,41.439646,-81.7386247,0,3.786,7.7,3.786,7.9,1/19/2019 16:00,3.786,7.4
303,14000US39035102402,center,3173,13333,632,53152,39,35,102402,39035102402,1024.02,Census Tract 1024.02,G5020,S,666530,0,41.4670716,-81.7428718,0.041678086,7.18E-05,0.257349,1,632,-81.74287169,41.46707165,Cleveland Downtown,41.5047834,-81.6856808,0,10.829,10.21666667,10.829,11.11666667,1/19/2019 16:00,10.829,10.43333333
307,14000US39035102402,fire,1903,9511,632,53152,39,35,102402,39035102402,1024.02,Census Tract 1024.02,G5020,S,666530,0,41.4670716,-81.7428718,0.041678086,7.18E-05,0.257349,1,632,-81.74287169,41.46707165,Cleveland Fire Station 23,41.4773181,-81.7516946,0,1.887,4.666666667,1.887,4.733333333,1/19/2019 16:00,1.887,4.5
310,14000US39035102402,grocery,1268,6336,632,53152,39,35,102402,39035102402,1024.02,Census Tract 1024.02,G5020,S,666530,0,41.4670716,-81.7428718,0.041678086,7.18E-05,0.257349,1,632,-81.74287169,41.46707165,The Corner Store,41.4674364,-81.7422068,0,0.056,0.216666667,0.056,0.216666667,1/19/2019 16:00,0.056,0.233333333
